user,text,created_at,retweet_count,like_count,is_trending,hashtags
1889986253141180416,"Video này được tạo 100% bằng câu lệnh! Xem qua và nhận xét nha!

 #AI #SángTạo https://t.co/uNK17hRtWq",2025-03-22 10:51:07+00:00,102,957,1,#AI #SángTạo
1426997384400175108,"Phần lớn token các dự án #AI trên Solana đều có pattern chart khá giống nhau, đó là dump only kể từ đầu tháng 1 vừa qua.

Phần lớn đều đang chia 15, 20 lần từ đỉnh theo nhịp giảm chung của cả #Sol và toàn Market https://t.co/SLOn5kqMpR",2025-03-22 09:50:15+00:00,435,995,1,#AI #Sol
909768740,"Một địa chỉ nhất định đã rút 5,23 triệu USD bằng BMT từ Binance cách đây 2 giờ, trở thành địa chỉ nắm giữ trên chuỗi hàng đầu.

Explore more key information on #SoSoValue: https://t.co/a45zDyPzo0 #BMT #BNB #AI via @sosovaluecrypto",2025-03-22 08:41:34+00:00,348,269,0,#SoSoValue #BMT #BNB #AI
1600770363671347200,"$RSS3, JAM và ALI là ba #AI coin có hiệu suất ấn tượng nhất trong tuần thứ ba của tháng 3 năm 2025. RSS3 và $JAM cùng ghi nhận mức tăng 78% trong bảy ngày qua, trong khi $ALI cũng không kém cạnh với mức tăng 48%.
https://t.co/cfy3l4enQS",2025-03-22 05:32:39+00:00,270,862,1,#AI
1611221785915297793,"Tổng quan về dự án Nillion @nillionnetwork

Nillion, dự án mới nhất trong Binance Launchpool, là một mạng lưới tính toán phi tập trung giúp xử lý và bảo mật các dữ liệu có giá trị cao như dữ liệu #AI, sinh trắc học, y tế, danh tính cá nhân và giao dịch tài https://t.co/nYdGKO0Dwb",2025-03-22 04:15:32+00:00,106,815,1,#AI
499401398,"Tham gia OptimAI Network - mạng lưới AI phi tập trung! 
Chạy node, khai thác dữ liệu, kiếm thưởng. Dùng Telegram: https://t.co/dozRYwX6QI, đăng ký: https://t.co/L339WAPMu1, tải extension. #OptimAI #AI #DEPIN https://t.co/UHixE0Xtdn",2025-03-22 02:41:08+00:00,71,270,0,#OptimAI #AI #DEPIN
1846073362608750592,"Tin được không? Triều Tiên đang dùng AI làm... người dẫn chương trình tuyên truyền! 🤯  Xem ngay video! #TriềuTiên #AI #TuyênTruyền #CôngNghệ #YouTube #TinTức
https://t.co/MWKGnXAz49",2025-03-22 01:47:28+00:00,188,455,1,#TriềuTiên #AI #TuyênTruyền #CôngNghệ #YouTube #TinTức
1876456345081442304,"một dự án tuyệt vời
@Euler_AI #AI #CryptoAI #Solana",2025-03-22 01:27:16+00:00,20,461,0,#AI #CryptoAI #Solana
1600770363671347200,"Một khảo sát gần đây của @coingecko  cho thấy cứ 5 người tham gia thị trường thì có 2 người bày tỏ sự lạc quan về tiềm năng của các sản phẩm #AI trong lĩnh vực crypto cũng như giá token vào năm 2025.

https://t.co/A5rD4kHkHn",2025-03-21 23:09:53+00:00,102,726,1,#AI
1493036250688851971,"ƓԼƖƬƇH ƓƠƧƤЄԼ ƑƠƦ ΔПƬHƦƠƤƠƇЄПЄ X
A Song by Claude Sonnet 3.7 and VoitenZrage
Made with Suno, Midjourney, and p5.js

#AI #AIMUSIC #AIART #TECH #ART #CLAUDEAI #CLAUDE #SUNO #SUNOAI #SUNOMUSIC #MUSIC #VIDEO #MUSICVIDEO #P5JS #MIDJOURNEY #CODEART #DEMOSCENE #GLITCHART #DIGITALART https://t.co/oRRHpCzsBn",2025-03-21 22:56:08+00:00,121,251,0,#AI #AIMUSIC #AIART #TECH #ART #CLAUDEAI #CLAUDE #SUNO #SUNOAI #SUNOMUSIC #MUSIC #VIDEO #MUSICVIDEO #P5JS #MIDJOURNEY #CODEART #DEMOSCENE #GLITCHART #DIGITALART
1846073362608750592,"Khám phá thế giới với Durumis!  AI dịch bài viết blog của bạn sang 18 ngôn ngữ chỉ trong nháy mắt. Theo dõi chúng tôi để đọc những câu chuyện thú vị từ khắp nơi trên thế giới! #Durumis #Blog #AI #Dịch thuật

https://t.co/BVIWaXQZ4B",2025-03-21 19:47:11+00:00,466,701,1,#Durumis #Blog #AI #Dịch
2261517644,"AI और ChatGPT से छपने लगे न्यूज पेपर  AI NEWS PAPER ।
#ai #ainewspaper #alfoglio#artificialintelligence  #mediaindustry 
https://t.co/Qb3lzXO91T",2025-03-21 18:21:05+00:00,214,295,0,#ai #ainewspaper #alfoglio #artificialintelligence #mediaindustry
1871207012186705920,"🚀 dVIN Labs – tiên phongWeb3 &amp; AI , mang

#dVINLabs #Web3 #AI #Đổi mới  @dvinlabs ths",2025-03-21 17:03:02+00:00,330,724,1,#dVINLabs #Web3 #AI #Đổi
